kind,unit,label,method,site,mean_weight,sd_weight,n_edges_on_skeleton,mean_weight_on_skeleton,strength_skeleton,within_module_mean,strength_lioness,sum_tu,river_basin,stream_order,UDF,lat,lon,n_det,mean_log,basin
conc,Danube_Middle,Middle Danube,bonobo,EUS_329,0.16661568580869,0.291419478955113,235,0.730126379320853,186.812311124778,0.724276259989334,194.823866624818,364.59429848844223,Danube,7.0,7.3,45.852725,18.854517,61,0.2431032117897902,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_330,0.172249527572052,0.278446646421433,235,0.713756610625281,182.319112073333,0.707227223111866,180.579120509686,109.97983223039108,Danube,7.0,5.5,45.551916,18.861546,46,0.11863048989334882,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_332,0.158708005832505,0.293826135559065,235,0.72071121599344,183.956225680873,0.711857416603611,218.957356929396,0.26445452347193765,Danube,7.0,8.0,46.235,20.150556,60,0.2299355925756725,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_334,0.161647530565446,0.280073999033744,235,0.701772611051458,178.825405499268,0.695437378266984,176.53346341992,0.017159129783427034,Danube,6.0,4.1,45.860644,15.692446,54,0.19980543885376717,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_158,0.174242015801111,0.314789575565795,440,0.719900985222624,337.825865091479,0.734683384044437,360.829138133956,0.272494385163197,Danube,1.0,0.0,45.223886,19.699039,60,0.3376085475541759,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_159,0.177199031468546,0.308903539973768,440,0.720812363617123,338.210658765604,0.736113634244874,345.416534009064,0.052701141479133594,Danube,1.0,0.0,45.240276,19.889274,63,0.3198309304199083,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_160,0.175037575656233,0.310051695485312,440,0.723382430280683,339.203206608893,0.734881095602287,408.666905658451,0.6059737372954666,Danube,8.0,5.6,45.260331,19.85665,90,0.6794324477833372,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_161,0.173684110606547,0.314783405579554,440,0.711009212675857,335.539430625453,0.733711837072045,422.818411396105,1.0089980893634884,Danube,2.0,3.7,44.395833,26.223022,98,0.7205620418416231,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_162,0.198675324888872,0.295538781487033,440,0.729775460878609,343.242357972424,0.741719258575919,330.675060726721,0.06809159118749222,Danube,4.0,3.3,46.789539,23.682029,40,0.06657586277624328,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_163,0.195627231657342,0.301103496241702,440,0.735364442307054,345.80894208232,0.746183514539647,346.285838099205,0.10960658506204203,Danube,2.0,0.0,44.747126,19.726075,49,0.11894732286317436,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_173,0.309683104097724,0.35907147288336,440,0.772018171016797,358.286229762169,0.785125766067778,775.279902634105,9.108865714863125,Danube,2.0,71.4,44.39686,26.247741,145,1.6282097924930445,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_174,0.174196782230285,0.338929910984506,440,0.71622220513287,336.736752363012,0.745370025892631,429.10851318023,0.56372306899621,Danube,4.0,85.2,46.791089,23.717859,101,0.790739231199845,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_175,0.180718988511156,0.300118784712855,440,0.717738186297871,338.135641873222,0.730952894690318,317.112314423304,0.15552193460113212,Danube,7.0,4.2,44.74578,19.728111,67,0.30212225486250815,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_331,0.191146317508928,0.308693764922023,440,0.73817647824437,347.265658956152,0.746554154899684,366.733259151601,0.06895019561891622,Danube,8.0,5.6,45.233889,19.383611,51,0.12173069218668442,Danube
