unit,site,strength_lionessglasso,strength_bonobo_pyskel,mean_weight_bonobo,sum_tu,UDF,stream_order,basin,n_det,mean_log
Sec_Danube_Lower,EUS_351,183.7948257166696,832.6596611192945,0.1948145445336775,9.554443684740518,0.7,8.0,Danube,52,0.1980522018672421
Sec_Danube_Lower,EUS_356,421.25528612486806,810.2379475158789,0.1860380993622589,0.7091958358851725,0.0,3.0,Danube,60,0.2961188259976825
Sec_Danube_Lower,EUS_357,237.8969250396472,825.6224046165917,0.2068781781175628,0.3784339247726491,0.0,3.0,Danube,45,0.1073740785967595
Sec_Danube_Lower,EUS_358,231.16807222064253,826.8476411577666,0.2218648387392197,0.1877534131911453,,3.0,Danube,33,-0.0151779169480368
Sec_Danube_Lower,EUS_359,329.316934797721,822.5447066408086,0.1880199359623733,0.7313587373536804,,4.0,Danube,61,0.3373741474909844
Sec_Danube_Lower,EUS_360,356.3301321074543,857.8798935581098,0.1960232759719812,10.146489162074996,,4.0,Danube,98,0.9912905824258196
Sec_Danube_Lower,EUS_361,271.6040060624884,838.3498636359304,0.1795643329949564,1.8407637766403264,0.0,4.0,Danube,83,0.6384621069001359
Sec_Danube_Lower,EUS_362,280.2478461687724,839.747909082097,0.180371014671836,4.418057662229861,,4.0,Danube,85,0.6840183580401498
Sec_Danube_Lower,EUS_363,362.122812539038,830.0300581641706,0.2261319232600238,0.2338730935734394,,4.0,Danube,17,-0.1402319819408082
Sec_Danube_Lower,EUS_364,560.4283769743342,874.0860754224319,0.2059417935539639,21.45385790969444,,3.0,Danube,102,1.2404902746948634
Sec_Danube_Lower,EUS_365,310.8151205201584,837.9397457440718,0.1837233580456219,1.5628687706666415,,3.0,Danube,91,0.7610545110626596
Sec_Danube_Lower,EUS_366,378.44454242550194,845.9376817693978,0.1861321342724125,4.834557932307801,0.0,3.0,Danube,99,0.8604611845377214
Sec_Danube_Lower,EUS_367,714.7938368442052,867.1460043486703,0.1989766705031718,92.0596687564631,4.2,7.0,Danube,100,1.219424985911694
Sec_Danube_Lower,EUS_368,544.5096623917642,809.4098690732144,0.1767295161103406,2.204708654793122,0.0,1.0,Danube,68,0.4329649150713759
Sec_Danube_Lower,EUS_369,366.1729791914682,824.3813723281868,0.2104728327181945,2.010751433809881,0.0,1.0,Danube,26,-0.0186312588230973
