"cmpdname","SMILES","UseGroup","DTXSID","CAS","InChIKey","n_danube_sites_detected"
"N-Phenyl-1-naphthylamine","c1ccc(Nc2cccc3ccccc23)cc1","industrial","DTXSID2025892","90-30-2","XQVWYOYUZDUNRW-UHFFFAOYSA-N",1
"Naproxen","COc1ccc2cc(C(C)C(=O)O)ccc2c1","pharmaceutical","DTXSID4040686","22204-53-1","CMWTZPSULFXXJA-VIFPVBQESA-N",5
"Nicosulfuron","COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2C(=O)N(C)C)n1","pesticide","DTXSID6034764","111991-09-4","RTCOGUMHFFWOJV-UHFFFAOYSA-N",26
"Nitrendipin","CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1","pharmaceutical","DTXSID0023373","39562-70-4","PVHUJELLJLJGLN-UHFFFAOYSA-N",10
"Norfloxacin","CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21","pharmaceutical","DTXSID7037680","70458-96-7","OGJPXUAPXNRGGI-UHFFFAOYSA-N",6
"Ofloxacin","CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23","pharmaceutical","DTXSID3041085","82419-36-1","GSDSWSVVBLHKDQ-UHFFFAOYSA-N",4
"Omethoate","CNC(=O)CSP(=O)(OC)OC","pesticide","DTXSID4037580","1113-02-6","PZXOQEXFMJCDPG-UHFFFAOYSA-N",3
"Oxazepam","O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O","pharmaceutical","DTXSID1021087","604-75-1","ADIMAYPTOBDMTL-UHFFFAOYSA-N",31
"Oxybutynin","CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1","pharmaceutical","DTXSID0023406","5633-20-5","XIQVNETUBQGFHX-UHFFFAOYSA-N",4
"Oxypurinol","O=c1[nH]c(=O)c2c[nH]nc2[nH]1","pharmaceutical","DTXSID4035209","2465-59-0","HXNFUBHNUDHIGC-UHFFFAOYSA-N",40
"Palmitoylethanolamide","CCCCCCCCCCCCCCCC(=O)NCCO","pharmaceutical","DTXSID4042254","544-31-0","HXYVTAGFYLMHSO-UHFFFAOYSA-N",1
"Paraxanthine","Cn1c(=O)[nH]c2ncn(C)c2c1=O","stimulans","DTXSID2052281","611-59-6","QUNWUDVFRNGTCO-UHFFFAOYSA-N",17
"Pencycuron","O=C(Nc1ccccc1)N(Cc1ccc(Cl)cc1)C1CCCC1","biocide","DTXSID3042261","66063-05-6","OGYFATSSENRIKG-UHFFFAOYSA-N",12
"Pendimethalin","CCC(CC)Nc1c([N+](=O)[O-])cc(C)c(C)c1[N+](=O)[O-]","pesticide","DTXSID7024245","40487-42-1","CHIFOSRWCNZCFN-UHFFFAOYSA-N",1
"Pentoxifylline","CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O","pharmaceutical","DTXSID7023437","6493-05-6","BYPFEZZEUUWMEJ-UHFFFAOYSA-N",22
"Perfluorobutanoic acid","O=C(O)C(F)(F)C(F)(F)C(F)(F)F","PFC","DTXSID4059916","375-22-4","YPJUNDFVDDCYIH-UHFFFAOYSA-N",2
"Perfluoroheptanoic acid","O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","PFC","DTXSID1037303","375-85-9","ZWBAMYVPMDSJGQ-UHFFFAOYSA-N",9
"Perfluorohexanoic acid","O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","PFC","DTXSID3031862","307-24-4","PXUULQAPEKKVAH-UHFFFAOYSA-N",17
"Perfluorooctanesulfonic acid","O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","PFC","DTXSID3031864","1763-23-1","YFSUTJLHUFNCNZ-UHFFFAOYSA-N",29
"Pethoxamid","CCOCCN(C(=O)CCl)C(=C(C)C)c1ccccc1","pesticide","DTXSID4057928","106700-29-2","CSWIKHNSBZVWNQ-UHFFFAOYSA-N",26
"Phenazone","Cc1cc(=O)n(-c2ccccc2)n1C","pharmaceutical","DTXSID6021117","60-80-0","VEQOALNAAJBPNY-UHFFFAOYSA-N",63
"Phenylbenzimidazole sulfonic acid","O=S(=O)(O)c1ccc2nc(-c3ccccc3)[nH]c2c1","UV filter","DTXSID3038852","27503-81-7","UVCJGUGAGLDPAA-UHFFFAOYSA-N",88
"Phenylethylmalonamide","CCC(C(N)=O)(C(N)=O)c1ccccc1","industrial","DTXSID3025885","7206-76-0","JFZHPFOXAAIUMB-UHFFFAOYSA-N",3
"Phloretin","O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O",NA,"DTXSID6022393","60-82-2","VGEREEWJJVICBM-UHFFFAOYSA-N",4
"Picolinafen","O=C(Nc1ccc(F)cc1)c1cccc(Oc2cccc(C(F)(F)F)c2)n1","pesticide","DTXSID8044339","137641-05-5","CWKFPEBMTGKLKX-UHFFFAOYSA-N",2
"Pindolol","CC(C)NCC(O)COc1cccc2[nH]ccc12","pharmaceutical","DTXSID8023476","13523-86-9","JZQKKSLKJUAGIC-UHFFFAOYSA-N",16
"Pipamperone","NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1","pharmaceutical","DTXSID8048369","1893-33-0","AXKPFOAXAHJUAG-UHFFFAOYSA-N",7
"Piperine","O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1","food ingredient","DTXSID3021805","94-62-2","MXXWOMGUGJBKIW-YPCIICBESA-N",17
"Piperonyl butoxide","CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2","pesticide","DTXSID1021166","51-03-6","FIPWRIJSWJWJAI-UHFFFAOYSA-N",12
"Pirimicarb","Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C","pesticide","DTXSID1032569","23103-98-2","YFGYUFNIOHWBOB-UHFFFAOYSA-N",13
"Pravastatin","CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21","pharmaceutical","DTXSID6023498","81093-37-0","TUZYXOIXSAXUGO-PZAWKZKUSA-N",50
"Primidone","CCC1(c2ccccc2)C(=O)NCNC1=O","pharmaceutical","DTXSID7023510","125-33-7","DQMZLTXERSFNPB-UHFFFAOYSA-N",6
"Prochloraz","CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1","pesticide","DTXSID4024270","67747-09-5","TVLSRXXIMLFWEO-UHFFFAOYSA-N",3
"Propamocarb","CCCOC(=O)NCCCN(C)C","pesticide","DTXSID1040295","24579-73-5","WZZLDXDUQPOXNW-UHFFFAOYSA-N",11
"Propargite","C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1","biocide","DTXSID4024276","2312-35-8","ZYHMJXZULPZUED-UHFFFAOYSA-N",12
"Propiconazole","CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1","pesticide","DTXSID8024280","60207-90-1","STJLVHWMYQXCPB-UHFFFAOYSA-N",8
"Propranolol","CC(C)NCC(O)COc1cccc2ccccc12","pharmaceutical","DTXSID6023525","525-66-6","AQHHHDLHHXJYJD-UHFFFAOYSA-N",21
"Propyphenazone","Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C","pharmaceutical","DTXSID6023529","479-92-5","PXWLVJLKJGVOKE-UHFFFAOYSA-N",30
"Propyzamide","C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1","pesticide","DTXSID2020420","23950-58-5","PHNUZKMIPFFYSO-UHFFFAOYSA-N",1
"Prosulfocarb","CCCN(CCC)C(=O)SCc1ccccc1","pesticide","DTXSID3058119","52888-80-9","NQLVQOSNDJXLKG-UHFFFAOYSA-N",1
"Prothioconazole-desthio","OC(Cc1ccccc1Cl)(Cn1cncn1)C1(Cl)CC1","pesticide","DTXSID3044338","120983-64-4","HHUQPWODPBDTLI-UHFFFAOYSA-N",5
"Quinmerac","Cc1cnc2c(C(=O)O)c(Cl)ccc2c1","pesticide","DTXSID1042364","90717-03-6","ALZOLUNSQWINIR-UHFFFAOYSA-N",2
"Quinoline","c1ccc2ncccc2c1","industrial","DTXSID1021798","91-22-5","SMWDFEZZVXVKRB-UHFFFAOYSA-N",6
"Quinoline N-oxide","[O-][n+]1cccc2ccccc21","industrial","DTXSID00167107","1613-37-2","GIIWGCBLYNDKBO-UHFFFAOYSA-N",1
"Raloxifene","O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12","pharmaceutical","DTXSID3023550","84449-90-1","GZUITABIAKMVPG-UHFFFAOYSA-N",4
"Ranitidine","CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1","pharmaceutical","DTXSID8045191","66357-35-5","VMXUWOKSQNHOCA-UHFFFAOYSA-N",24
"Roxithromycin","CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)[C@H](C)[C@@H](OC2OC(C)CC(N(C)C)C2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O","pharmaceutical","DTXSID8041117","80214-83-1","RXZBMPWDPOLZGW-HITVVWEBSA-N",4
"Saccharin","O=C1NS(=O)(=O)c2ccccc21","sweetener","DTXSID5021251","81-07-2","CVHZOJJKTDOEJC-UHFFFAOYSA-N",56
"Scopolamine-N-butyl","CCCC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12","pharmaceutical","DTXSID1022718","149-64-4","HOZOZZFCZRXYEK-GSWUYBTGSA-M",2
"Secobarbital","C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O","pharmaceutical","DTXSID6044145","76-73-3","KQPKPCNLIDLUMF-UHFFFAOYSA-N",2
"Sertraline","CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21","pharmaceutical","DTXSID6023577","79617-96-2","VGKDLMBJGBXTGI-SJCJKPOMSA-N",7
"Sidenafil","CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12","pharmaceutical","DTXSID6023579","139755-83-2","BNRNXUUZRGQAQC-UHFFFAOYSA-N",6
"Simazine","CCNc1nc(Cl)nc(NCC)n1","pesticide","DTXSID4021268","122-34-9","ODCWYMIRDDJXKW-UHFFFAOYSA-N",2
"Simetryn","CCNc1nc(NCC)nc(SC)n1","pesticide","DTXSID8037596","1014-70-6","MGLWZSOBALDPEK-UHFFFAOYSA-N",3
"Sotalol","CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1","pharmaceutical","DTXSID0023589","3930-20-9","ZBMZVLHSJCTVON-UHFFFAOYSA-N",34
"Spinosyn A","CC[C@H]1CCC[C@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)[C@@H](C)C(=O)C2=C[C@@H]3[C@@H](C=C[C@@H]4C[C@@H](O[C@@H]5O[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]5OC)C[C@@H]34)[C@@H]2CC(=O)O1","pesticide","DTXSID8037598","131929-60-7","SRJQTHAZUNRMPR-UYQKXTDMSA-N",3
"Spiroxamine","CCCN(CC)CC1COC2(CCC(C(C)(C)C)CC2)O1","pesticide","DTXSID1034212","118134-30-8","PUYXTUJWRLOUCW-UHFFFAOYSA-N",2
"Sucralose","OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl","sweetener","DTXSID1040245","56038-13-2","BAQAVOSOZGMPRM-QBMZZYIRSA-N",100
"Sulfadimethoxine","COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1","pharmaceutical","DTXSID1023607","122-11-2","ZZORFUFYDOWNEF-UHFFFAOYSA-N",2
"Sulfamethazine","Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1","pharmaceutical","DTXSID6021290","57-68-1","ASWVTGNCAZCNNR-UHFFFAOYSA-N",3
"Sulfamethoxazole","Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1","pharmaceutical","DTXSID8026064","723-46-6","JLKIGFTWXXRPMT-UHFFFAOYSA-N",68
"Sulfapyridine","Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1","pharmaceutical","DTXSID3026067","144-83-2","GECHUMIMRBOMGK-UHFFFAOYSA-N",21
"Sulfathiazole","Nc1ccc(S(=O)(=O)Nc2nccs2)cc1","pharmaceutical","DTXSID8026068","72-14-0","JNMRHUJNCSQMMB-UHFFFAOYSA-N",1
"TDCPP","O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl","plastic additive","DTXSID9026261","13674-87-8","ASLWPAWFJZFCKF-UHFFFAOYSA-N",2
"TMDD","CC(C)CC(C)(O)C#CC(C)(O)CC(C)C","industrial","DTXSID7027041","126-86-3","LXOFYPKXCSULTL-UHFFFAOYSA-N",2
"Tacrolimus","C=CC[C@@H]1C=C(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC","pharmaceutical","DTXSID5046354","104987-11-3","QJJXYPPXXYFBGM-LFZNUXCKSA-N",3
"Tebuconazole","CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1","pesticide","DTXSID9032113","107534-96-3","PXMNMQRDXWABCY-UHFFFAOYSA-N",15
"Telmisartan","CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1","pharmaceutical","DTXSID8023636","144701-48-4","RMMXLENWKUUMAY-UHFFFAOYSA-N",49
"Temazepam","CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21","pharmaceutical","DTXSID8021309","846-50-4","SEQDDYPDSLOBDC-UHFFFAOYSA-N",6
"Terbuthylazine","CCNc1nc(Cl)nc(NC(C)(C)C)n1","pesticide","DTXSID4027608","5915-41-3","FZXISNSWEXTPMF-UHFFFAOYSA-N",87
"Terbuthylazine-2-hydroxy","CCNc1nc(NC(C)(C)C)[nH]c(=O)n1","pesticide","DTXSID20216888","66753-07-9","OYTCZOJKXCTBHG-UHFFFAOYSA-N",50
"Terbutryn","CCNc1nc(NC(C)(C)C)nc(SC)n1","biocide","DTXSID3024318","886-50-0","IROINLKCQGIITA-UHFFFAOYSA-N",84
"Tetraacetylethylenediamine","CC(=O)N(CCN(C(C)=O)C(C)=O)C(C)=O","surfactant","DTXSID5040752","10543-57-4","BGRWYDHXPHLNKA-UHFFFAOYSA-N",27
"Tetrabutylammonium","CCCC[N+](CCCC)(CCCC)CCCC","industrial","DTXSID3045011","10549-76-5","DZLFLBLQUQXARW-UHFFFAOYSA-N",6
"Tetracain","CCCCNc1ccc(C(=O)OCCN(C)C)cc1","pharmaceutical","DTXSID1043883","94-24-6","GKCBAIGFKIBETG-UHFFFAOYSA-N",2
"Tetraethyleneglycol monobutyl ether","CCCCOCCOCCOCCOCCO",NA,"DTXSID2027412","1559-34-8","MXVMODFDROLTFD-UHFFFAOYSA-N",18
"Tetraglyme","COCCOCCOCCOCCOC","industrial","DTXSID7044396","143-24-8","ZUHZGEOKBKGPSW-UHFFFAOYSA-N",51
"Tetramethylthiuram monosulfide","CN(C)C(=S)SC(=S)N(C)C","industrial","DTXSID0021333","97-74-5","REQPQFUJGGOFQL-UHFFFAOYSA-N",8
"Theobromine","Cn1cnc2c1c(=O)[nH]c(=O)n2C","bittern","DTXSID9026132","83-67-0","YAPQBXQYLJRXSA-UHFFFAOYSA-N",14
"Thiabendazole","c1ccc2[nH]c(-c3cscn3)nc2c1","biocide","DTXSID0021337","148-79-8","WJCNZQLZVWNLKY-UHFFFAOYSA-N",1
"Thiacloprid","N#CN=C1SCCN1Cc1ccc(Cl)nc1","pesticide","DTXSID7034961","111988-49-9","HOKKPVIRMVDYPB-UVTDQMKNSA-N",20
"Thiacloprid amide","NC(=O)N=C1SCCN1Cc1ccc(Cl)nc1","pesticide","DTXSID60583566","676228-91-4","LEZHOZPJYAQQNU-UVTDQMKNSA-N",5
"Thiamethoxam","CN1COCN(Cc2cnc(Cl)s2)/C1=N/[N+](=O)[O-]","biocide","DTXSID2034962","153719-23-4","NWWZPOKUUAIXIW-UHFFFAOYSA-N",6
"Thiophanate-methyl","COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC","pesticide","DTXSID1024338","23564-05-8","QGHREAKMXXNCOA-UHFFFAOYSA-N",21
"Torasemide","Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1","pharmaceutical","DTXSID2023690","56211-40-6","NGBFQHCMQULJNZ-UHFFFAOYSA-N",4
"Tramadol","COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1","pharmaceutical","DTXSID90858931","27203-92-5","TVYLLZQTGLZFBW-ZBFHGGJFSA-N",93
"Tri(butoxyethyl) phosphate","CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC","plastic additive","DTXSID5021758","78-51-3","WTLBZVNBAKMVDP-UHFFFAOYSA-N",49
"Triacetin","CC(=O)OCC(COC(C)=O)OC(C)=O","dye","DTXSID3026691","102-76-1","URAYPUMNDPQOKB-UHFFFAOYSA-N",11
"Tributyl phosphate","CC(C)COP(=O)(OCC(C)C)OCC(C)C","plastic additive","DTXSID8040698","126-71-6","HRKAMJBPFPHCSD-UHFFFAOYSA-N",19
"Triclocarban","O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1","biocide","DTXSID4026214","101-20-2","ICUTUKXCWQYESQ-UHFFFAOYSA-N",6
"Triclosan","Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl","biocide","DTXSID5032498","3380-34-5","XEFQLINVKFYRCS-UHFFFAOYSA-N",10
"Tricresylphosphate","Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1","plastic additive","DTXSID5052676","78-32-0","BOSMZFBHAYFUBJ-UHFFFAOYSA-N",1
"Triethyl phosphate","CCOP(=O)(OCC)OCC","plastic additive","DTXSID8026228","78-40-0","DQWPFSLDHJDLRL-UHFFFAOYSA-N",66
"Triethylcitrate","CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC","plastic additive","DTXSID0040701","77-93-0","DOOTYTYQINUNNV-UHFFFAOYSA-N",9
"Trifloxystrobin","CO/N=C(\C(=O)OC)c1ccccc1CO/N=C(\C)c1cccc(C(F)(F)F)c1","pesticide","DTXSID4032580","141517-21-7","ONCZDRURRATYFI-TVJDWZFNSA-N",1
"Trifloxystrobin CGA 321113","CO/N=C(\C(=O)O)c1ccccc1CO/N=C(\C)c1cccc(C(F)(F)F)c1","pesticide","DTXSID50892513","252913-85-2","ISZQNKFXNXQTTF-NACSPRHISA-N",1
"Trifluoromethanesulfonic acid","O=S(=O)(O)C(F)(F)F",NA,"DTXSID2044397","1493-13-6","ITMCEJHCFYSIIV-UHFFFAOYSA-N",3
"Triglyme","COCCOCCOCCOC","industrial","DTXSID8026224","112-49-2","YFNKIDBQEZZDLK-UHFFFAOYSA-N",28
"Trimethoprim","COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC","pharmaceutical","DTXSID3023712","738-70-5","IEDVJHCEMCRBQM-UHFFFAOYSA-N",25
"Trimethyloctylammonium","CCCCCCCC[N+](C)(C)C","surfactant","DTXSID10165674","15461-38-8","HTKPDYSCAPSXIR-UHFFFAOYSA-N",4
"Triphenyl phosphate","O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1","plastic additive","DTXSID1021952","115-86-6","XZZNDPSIHUTMOC-UHFFFAOYSA-N",2
"Triphenylphosphine oxide","O=P(c1ccccc1)(c1ccccc1)c1ccccc1","industrial","DTXSID2022121","791-28-6","FIQMHBFVRAXMOP-UHFFFAOYSA-N",6
"Tripropyl phosphate","CCCOP(=O)(OCCC)OCCC","plastic additive","DTXSID4052712","513-08-6","RXPQRKFMDQNODS-UHFFFAOYSA-N",1
"Tripropylamine","CCCN(CCC)CCC","industrial","DTXSID9021849","102-69-2","YFTHZRPMJXBUME-UHFFFAOYSA-N",40
"Tris(1-chloro-2-propyl) phosphate","CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl","plastic additive","DTXSID5026259","13674-84-5","KVMPUXDNESXNOH-UHFFFAOYSA-N",5
"Tris(2-chloroethyl) phosphate","O=P(OCCCl)(OCCCl)OCCCl","flame retardant","DTXSID5021411","115-96-8","HQUQLFOMPYWACS-UHFFFAOYSA-N",12
"Tris(2-ethylhexyl) phosphate","CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC","plastic additive","DTXSID0021414","78-42-2","GTVWRXDRKAHEAD-UHFFFAOYSA-N",4
"Uvinul A Plus","CCCCCCOC(=O)c1ccccc1C(=O)c1ccc(N(CC)CC)cc1O","UV filter","DTXSID60184370","302776-68-7","FDATWRLUYRHCJE-UHFFFAOYSA-N",12
"Valsartan","CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C","pharmaceutical","DTXSID6023735","137862-53-4","ACWBQPMHZXGDFX-QFIPXVFZSA-N",69
"Vancomycin","CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(N)C(O)C(C)O2)Oc2ccc(cc2Cl)C1O","pharmaceutical","DTXSID0042664","1404-90-6","MYPYJXKWCTUITO-LYRMYLQWSA-N",3
"Vardenafil","CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12","pharmaceutical","DTXSID3048318","224785-90-4","SECKRCOLJRRGGV-UHFFFAOYSA-N",1
"Verapamil","COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC","pharmaceutical","DTXSID9041152","52-53-9","SGTNSNPWRIOYBX-UHFFFAOYSA-N",11
"Warfarin","CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O","biocide","DTXSID5023742","81-81-2","PJVWKTKQMONHTI-UHFFFAOYSA-N",6
"epsilon-Caprolactam","O=C1CCCCCN1","industrial","DTXSID4020240","105-60-2","JBKVHLHDHHXQEQ-UHFFFAOYSA-N",1
"m-Xylene-4-sulfonic acid","Cc1ccc(S(=O)(=O)O)c(C)c1","industrial","DTXSID1047023","88-61-9","CHZLVSBMXZSPNN-UHFFFAOYSA-N",111
"o-Toluidine","Cc1ccccc1N","industrial","DTXSID1026164","95-53-4","RNVCVTLRINQCPJ-UHFFFAOYSA-N",16
"p-Toluenesulfonamide","Cc1ccc(S(N)(=O)=O)cc1","industrial","DTXSID8029105","70-55-3","LMYRWZFENFIFIT-UHFFFAOYSA-N",28
"p-Tolylsulfate","Cc1ccc(OS(=O)(=O)O)cc1",NA,"DTXSID80404921","3233-58-7","WGNAKZGUSRVWRH-UHFFFAOYSA-N",11
