"Compound","EC10_ngL"
"N-Methyldodecylamine",1325850.1
"N-Phenyl-1-naphthylamine",181547.14
"Naproxen",1086149.6
"Nicosulfuron",16769.614
"Nitrendipin",129892.99
"Norfloxacin",39610.47
"Ofloxacin",210255.67
"Omethoate",1212175.7
"Oxazepam",121921.96
"Oxybutynin",71036.56
"Oxypurinol",28470106
"Palmitoylethanolamide",88149.09
"Paraxanthine",56982.5
"Pencycuron",169574.13
"Pendimethalin",169.24492
"Pentoxifylline",11158.909
"Perfluorobutanoic acid",3804000
"Perfluoroheptanoic acid",5832536
"Perfluorohexanoic acid",5722285.7
"Perfluorooctanesulfonic acid",224280.37
"Pethoxamid",63564.59
"Phenazone",51168.688
"Phenylbenzimidazole sulfonic acid",20013159
"Phenylethylmalonamide",1596435.7
"Phloretin",3258836.7
"Picolinafen",51964.52
"Pindolol",59638.44
"Pipamperone",174679.4
"Piperine",846949.46
"Piperonyl butoxide",233135.22
"Pirimicarb",15590062
"Pravastatin",427.0206
"Primidone",99315.576
"Prochloraz",260922.97
"Propamocarb",377229.36
"Propargite",18737.113
"Propiconazole",382805.97
"Propranolol",25998.468
"Propyphenazone",30568.615
"Propyzamide",128874.23
"Prosulfocarb",12355.336
"Prothioconazole-desthio",320085.53
"Quinmerac",22486324
"Quinoline",2181906
"Quinoline N-oxide",1377350.6
"Raloxifene",12719.858
"Ranitidine",315908.7
"Roxithromycin",145477.28
"Saccharin",11466042.5
"Scopolamine-N-butyl",1655963.8
"Secobarbital",844983.9
"Sertraline",65809.62
"Sidenafil",130060.17
"Simazine",1146333
"Simetryn",1803432.6
"Sotalol",23951300
"Spinosyn A",96435.08
"Spiroxamine",772.0425
"Sucralose",349223500
"Sulfadimethoxine",433403.85
"Sulfamethazine",49856220
"Sulfamethoxazole",593224.05
"Sulfapyridine",622984.35
"Sulfathiazole",929529.1
"TDCPP",20364.72
"TMDD",12421332
"Tacrolimus",139914.9
"Tebuconazole",410943.12
"Telmisartan",122756.585
"Temazepam",683.6587
"Terbuthylazine",104637.645
"Terbuthylazine-2-hydroxy",4355472.6
"Terbutryn",983978.8
"Tetraacetylethylenediamine",106705210
"Tetrabutylammonium",67110916
"Tetracain",72610.825
"Tetraethyleneglycol monobutyl ether",1559991.7
"Tetraglyme",1328418.6
"Tetramethylthiuram monosulfide",5751.6578
"Theobromine",88731.274
"Thiabendazole",437382.16
"Thiacloprid",10681.017
"Thiacloprid amide",34234.688
"Thiamethoxam",90512200
"Thiophanate-methyl",371491.58
"Torasemide",3925755.7
"Tramadol",104866.52
"Tri(butoxyethyl) phosphate",378600.48
"Triacetin",69240360
"Tributyl phosphate",347847.58
"Triclocarban",1717.3734
"Triclosan",91220.02
"Tricresylphosphate",553.8249
"Triethyl phosphate",79091370
"Triethylcitrate",28427946
"Trifloxystrobin",24307.739
"Trifloxystrobin CGA 321113",25285.475
"Trifluoromethanesulfonic acid",134444380
"Triglyme",7642732
"Trimethoprim",196896.24
"Trimethyloctylammonium",341856.66
"Triphenyl phosphate",90898.24
"Triphenylphosphine oxide",2202180.1
"Tripropyl phosphate",115795740
"Tripropylamine",3485024.5
"Tris(1-chloro-2-propyl) phosphate",739651.9
"Tris(2-chloroethyl) phosphate",1928037.8
"Tris(2-ethylhexyl) phosphate",120203.24
"Uvinul A Plus",213079.99
"Valsartan",210459.04
"Vancomycin",892921
"Vardenafil",648156.7
"Verapamil",301519.33
"Warfarin",509108.96
"epsilon-Caprolactam",74398920
"m-Xylene-4-sulfonic acid",84325096
"o-Toluidine",92662125
"p-Toluenesulfonamide",100614150
"p-Tolylsulfate",4419409.3
