chemical_name,alt_names,casrn,inchikey,mdl_value_ng_L,n_sources,all_reported_values_ng_L,limit_types_reported,source_files
Diphenylmethane,,101-81-5,CZZYITDELCSZES-UHFFFAOYSA-N,45.573455817149345,1,45.573455817149345,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Diphenylphosphate,,838-85-7,ASMQGLCHMVWBQR-UHFFFAOYSA-N,1.0,4,1.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Diphenylphosphine oxide,,4559-70-0,ASUOLLHGALPRFK-UHFFFAOYSA-N,5.0,2,5.0; 35.0,LOQ; MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx
Diphenylphosphine oxide,,4559-70-0,YFPJFKYCVYXDJK-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Disulfoton,,298-04-4,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Diuron,,330-54-1,XMTQQYYKAHVGBJ-UHFFFAOYSA-N,1.0,4,1.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Dodecane-12-lactam,,947-04-6,JHWNWJKBPDFINM-UHFFFAOYSA-N,0.3,2,0.3; 0.5,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Dodecyl sulfate,,151-41-7,MOTZDAYCYVMXPC-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Dodecylbenzenesulfonic acid,,27176-87-0,WBIQQQGBSDOWNP-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Dodemorph,,1593-77-7,JMXKCYUTURMERF-UHFFFAOYSA-N,1.0,2,1.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Domperidone,,57808-66-9,FGXWKSZFVQUSTL-UHFFFAOYSA-N,2.0,2,2.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Drospirenone,,67392-87-4,METQSPRSQINEEU-HXCATZOESA-N,1.0,1,1.0,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Duloxetine,,116539-59-4,ZEUITGRIYCTCEM-UHFFFAOYSA-N,10.0,2,10.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx
Duloxetine,,116539-59-4,ZEUITGRIYCTCEM-KRWDZBQOSA-N,10.0,1,10.0,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Dydrogesterone,,152-62-5,JGMOKGBVKVMRFX-HQZYFCCVSA-N,1.0,2,1.0,MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Ebastin,,90729-43-4,MJJALKDDGIKVBE-UHFFFAOYSA-N,2.0,2,2.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
