"kind","unit","label","method","site","mean_weight","sd_weight","n_edges_on_skeleton","mean_weight_on_skeleton","strength_skeleton","within_module_mean"
"tu","Sec_Rhine_Lower","Lower Rhine (section)","bonobo","EUS_260",0.23081820400903,0.326429450344407,339,0.907277709225909,309.469572257909,0.908658015553479
"tu","Sec_Rhine_Lower","Lower Rhine (section)","bonobo","EUS_261",0.192941391313491,0.3307744166629,339,0.89930260193068,306.7659972623,0.910938256414705
"tu","Sec_Rhine_Lower","Lower Rhine (section)","bonobo","EUS_262",0.206504310729689,0.337641733461142,339,0.900746833761977,307.255603102994,0.901580881787197
"tu","Sec_Rhine_Lower","Lower Rhine (section)","bonobo","EUS_263",0.193487486888634,0.331462192334428,339,0.898566854054699,306.516578640501,0.909548415480859
"tu","Sec_Rhine_Lower","Lower Rhine (section)","bonobo","EUS_264",0.192851845953734,0.329404785848896,339,0.897074944930137,306.010822515676,0.903875969496857
"tu","Sec_Rhine_Lower","Lower Rhine (section)","bonobo","EUS_265",0.226008905855998,0.330079541219183,339,0.912020291194736,311.077298593606,0.913919188471583
"tu","Sec_Rhine_Lower","Lower Rhine (section)","bonobo","EUS_266",0.22536698905069,0.330439565966506,339,0.912018938467989,311.076839779552,0.913917881042039
"tu","Sec_Rhine_Lower","Lower Rhine (section)","bonobo","EUS_381",0.226234053915606,0.330877589431891,339,0.909414731270298,310.194013500009,0.911298875994799
"tu","Sec_Rhine_Lower","Lower Rhine (section)","bonobo","EUS_382",0.202893992209086,0.353703148162821,339,0.907663081043423,309.600209354202,0.909202756960204
"tu","Sec_Rhine_Lower","Lower Rhine (section)","bonobo","EUS_383",0.194819673373407,0.354563023115905,339,0.900577101365213,307.198073593677,0.901773420149937
"tu","Sec_Rhine_Lower","Lower Rhine (section)","bonobo","EUS_387",0.235585521197514,0.328714654982408,339,0.911998955178835,311.07006190469,0.913898566812528
"tu","Sec_Rhine_Lower","Lower Rhine (section)","bonobo","EUS_388",0.235236009557999,0.328447709376816,339,0.911378449306955,310.859710562875,0.913211024940121
"tu","Sec_Rhine_Lower","Lower Rhine (section)","bonobo","EUS_392",0.201149348465625,0.351781741434617,339,0.90521572021705,308.770553057794,0.90662566239362
"tu","Sec_Rhine_Lower","Lower Rhine (section)","bonobo","EUS_393",0.221391060608677,0.342208425165944,339,0.911071240031021,310.755571223064,0.912867011861192
"tu","Sec_Rhine_Lower","Lower Rhine (section)","bonobo","EUS_400",0.188603591951452,0.335254866140164,339,0.864692688517708,295.033237562648,0.865088311224946
"tu","Sec_Rhine_Lower","Lower Rhine (section)","bonobo","EUS_401",0.203851216514679,0.347801413649006,339,0.910105912308423,310.428327709006,0.911795519799765
"tu","Sec_Rhine_Lower","Lower Rhine (section)","bonobo","EUS_402",0.192212452609701,0.34969755134954,339,0.89846617693759,306.482457789548,0.899638716601629
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_001",-0.113873207840263,1.4903684660685,272,0.635322078998936,274.275229104469,0.702582056491789
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_002",0.0998279756461077,0.771737276249638,272,0.647940965644188,220.999240420026,0.643043948790543
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_003",0.9077212595056,2.88695133319925,272,1.76255958919693,608.896199216342,1.47242090542021
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_004",0.0335635003726077,0.96512929532949,272,0.664056549203837,217.499549883521,0.667420003175133
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_005",0.0358008608584058,0.822799976404794,272,0.583030784897851,211.39951424634,0.617564729584577
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_006",0.199627527043302,0.54542237747524,272,0.586037548343776,225.984535266222,0.675809208416943
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_007",0.335725535433376,0.396021867795688,272,0.798759200440344,223.953965920677,0.810609461749936
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_008",0.353074945077811,0.351801911031389,272,0.779656013754651,212.477794321917,0.792284063247963
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_009",0.215655726027089,0.66519169445741,272,0.727603410063604,230.282225848366,0.784835454646972
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_010",0.441027836127539,0.395089914912354,272,0.854164690797252,235.364771223874,0.88072840373442
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_011",0.406371312574766,0.374086152978867,272,0.861077414574701,234.213056764319,0.884718451209151
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_012",0.311843233283103,0.615727341202125,272,0.766060753519409,220.685161721128,0.773897577383624
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_013",0.41248536750342,0.409261229828687,272,0.851983319586831,232.465655277853,0.867934773145005
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_051",0.196849996856492,0.89397787754734,272,0.759595246871893,244.268537463723,0.787645632157681
