"kind","unit","label","method","site","mean_weight","sd_weight","n_edges_on_skeleton","mean_weight_on_skeleton","strength_skeleton","within_module_mean"
"conc","Danube_Upper","Upper Danube","bonobo","EUS_304",0.256927073958783,0.282734730929144,278,0.861545313555358,239.509597168389,0.867048406887592
"conc","Danube_Upper","Upper Danube","bonobo","EUS_305",0.2815086534923,0.27824204888425,278,0.859909520246378,239.054846628493,0.867100183404963
"conc","Danube_Upper","Upper Danube","bonobo","EUS_306",0.270806932459115,0.28137201240517,278,0.859679260646548,238.99083445974,0.86544770007831
"conc","Danube_Upper","Upper Danube","bonobo","EUS_307",0.270229059618575,0.282598483168178,278,0.860745252350071,239.28718015332,0.867722930356932
"conc","Danube_Upper","Upper Danube","bonobo","EUS_308",0.272218170642483,0.280936520974033,278,0.862965729604632,239.904472830088,0.868832918362877
"conc","Danube_Upper","Upper Danube","bonobo","EUS_309",0.266560158012604,0.283073348780183,278,0.858326819936161,238.614855942253,0.863109198835348
"conc","Danube_Upper","Upper Danube","bonobo","EUS_310",0.268525628653671,0.282335511448026,278,0.861312056986111,239.444751842139,0.866678625773442
"conc","Danube_Upper","Upper Danube","bonobo","EUS_311",0.251774400427232,0.285884707425691,278,0.860898299703567,239.329727317592,0.866310160544583
"conc","Danube_Upper","Upper Danube","bonobo","EUS_312",0.256195080596695,0.288877128268429,278,0.858123263077983,238.558267135679,0.863932656433545
"conc","Danube_Upper","Upper Danube","bonobo","EUS_376",0.260309338347528,0.312249397276108,278,0.871106675474047,242.167655781785,0.875989920164371
"conc","Danube_Upper","Upper Danube","bonobo","EUS_377",0.255284749739686,0.315114348022742,278,0.871072973782438,242.158286711518,0.875727782957086
"conc","Danube_Upper","Upper Danube","bonobo","EUS_378",0.285858147703862,0.281386036717517,278,0.868654102659595,241.485840539367,0.872715848566579
"conc","Danube_Upper","Upper Danube","bonobo","EUS_379",0.250228559818221,0.287729753257803,278,0.842247229099508,234.144729689663,0.85298912885619
